condition_id,population_type,study_doi,study_slug,treated_or_untreated,impairment_fraction,n_survivors,notes,extracted_by,extracted_at_utc
traumatic-hypovolemic-shock,civilian_trauma_level1_prolonged_ICU,N/A,obrien_2006_longstay_ICU_trauma,treated,0.06,34,"Long-stay ICU patients at mean 2yr. 50% normal active lives; 44% disabled but independent; 6% needing daily support. SEVERE impairment only.",subagent-proposal,2026-05-26T00:00:00Z
traumatic-hypovolemic-shock,major_trauma_ICU_6mo,N/A,hodgson_2018_major_trauma_return_to_work,treated,0.29,107,"Major trauma ICU survivors at 6 months. 29% unable to return to work due to health. Functional incapacity proxy.",subagent-proposal,2026-05-26T00:00:00Z
traumatic-hypovolemic-shock,historical_military_acute_trauma_proxy,N/A,inference_untreated_hemorrhagic_shock,untreated,0.45,N/A,"No direct long-term data. Based on 24% acute organ failure in day-1 survivors and historical military mortality differentials. Persistent impairment with minimal care estimated 0.45 range 0.35-0.55. BROAD definition.",subagent-proposal,2026-05-26T00:00:00Z
traumatic-hypovolemic-shock,historical_military_acute_trauma_proxy,N/A,inference_untreated_severe_only,untreated,0.20,N/A,"Conservative lower-bound for SEVERE persistent impairment only. Aligns with acute organ failure rate plus TBI-associated deficits. Comparable to current placeholder.",subagent-proposal,2026-05-26T00:00:00Z
toxic-exposure-ammonia,industrial_shipyard_leak,10.7180/kmj.22.004,kim-2022-copd-ammonia,treated,0.105,19,"2 of 19 treated survivors confirmed persistent airflow limitation at >=6 months (bronchiectasis/COPD pattern); 17 others not followed at referral hospital so 0.105 is a lower bound. Both cases remained impaired at 6-year follow-up.",subagent-proposal,2026-05-26T02:42:00Z
toxic-exposure-ammonia,occupational_massive_exposure,10.1002/(SICI)1097-0274(199602)29:2<209::AID-AJIM12>3.0.CO;2-7,delahoz-1996-chronic-lung-disease,treated,1.0,3,"All 3 patients evaluated 2 years after massive occupational exposure had persistent impairment (restrictive dysfunction obstructive disease bronchial hyper-reactivity). Selected severe-referral case series; high selection bias toward poor outcomes.",subagent-proposal,2026-05-26T02:42:00Z
toxic-exposure-ammonia,accidental_massive_exposure,10.1136/thx.47.9.755,leduc-1992-thorax,treated,1.0,1,"Single lifelong non-smoker followed 10 years after massive accidental exposure; severe fixed airways obstruction and mild bronchiectasis. Case report not generalizable.",subagent-proposal,2026-05-26T02:42:00Z
acute-radiation-syndrome,nuclear-accident-cohort,10.1016/S0531-5131(03)01219-6,chernobyl-ars-survivors-composite,treated,0.60,106,"Composite estimate: bronchopulmonary pathology 33-50% by 2002 (Bebeshko 2003); clinically significant cataracts in many survivors (UNSCEAR); skin scarring/ulceration a major cause of persistent disability (NEA 2002); CNS cardiovascular and endocrine late effects also increased. Union of organ-specific impairments exceeds 50%.",subagent-proposal,2026-05-26T02:39:12Z
acute-radiation-syndrome,nuclear-accident-cohort,10.1016/S0531-5131(03)01219-6,chernobyl-ars-survivors-bronchopulmonary,treated,0.50,106,"Upper-bound fraction with persistent bronchopulmonary pathology by 2002 in severe ARS survivors. Bebeshko 2003: increased from one-third to one-half of the survivors depending on the degree of ARS.",subagent-proposal,2026-05-26T02:39:12Z
acute-radiation-syndrome,nuclear-accident-cohort,10.1097/HP.0b013e3181d270e4,chernobyl-ars-survivors-cataract,treated,0.25,75,"Clinically significant radiation cataracts detected in 11/75 survivors under long-term observation at Institute of Biophysics (Saratov 2015); threshold dose ~3.2 Gy. Number correlated directly with ARS severity (Bebeshko 2003). Many of 106 survivors developed cataracts in first few years (UNSCEAR).",subagent-proposal,2026-05-26T02:39:12Z
acute-radiation-syndrome,nuclear-accident-cohort,10.1016/S0531-5131(03)01219-6,chernobyl-ars-survivors-skin,treated,0.42,134,"Radiation skin burns observed in 56 patients (out of 237 initially diagnosed 134 confirmed ARS). NEA 2002: Cataracts scarring and ulceration are the most important causes of persistent disability in acute radiation sickness survivors. Beta burns were primary cause of death in several patients and caused persistent scarring/ulceration in survivors.",subagent-proposal,2026-05-26T02:39:12Z
acute-radiation-syndrome,radiological-accident-cohort,,goiania-ars-survivors,treated,1.00,4,"4 survivors from 8 ARS patients (4 died). All survivors had severe persistent radiation burns; one required arm amputation. n too small for generalization but shows 100% impairment in this small treated cohort.",subagent-proposal,2026-05-26T02:39:12Z
acute-radiation-syndrome,nuclear-accident-proxy,10.1097/01.HP.0000278843.27969.74,untreated-ars-survivors-composite,untreated,0.35,unknown,"No large untreated ARS survivor cohort exists because LD50/60 without supportive care is ~3.5-4.0 Gy (Mettler 2007). Untreated survivors limited to grades 1-2 (~1-3 Gy). Persistent impairment includes cataracts (OR 1.39 at 1 Gy RERF) pulmonary and cardiovascular late effects but composite lower than treated cohort because severe cases die without treatment. Conservative estimate based on A-bomb proxy data and Chernobyl mild-ARS trajectory.",subagent-proposal,2026-05-26T02:39:12Z
acute-radiation-syndrome,nuclear-accident-proxy,10.1667/RR0928.1,rerf-abomb-cataract-surgery-proxy,mixed,0.20,6066,"Cataract surgery prevalence OR 1.39 at 1 Gy (95% CI 1.24-1.55); 20-30% excess cataracts at 1 Gy in A-bomb survivors. For ARS-relevant doses (2-5 Gy) extrapolated surgery-prevalence fraction ~0.35-0.60. Baseline unexposed prevalence ~10-15% by age 70. Threshold for visual-impairment cataract may be as low as 0.5 Gy.",subagent-proposal,2026-05-26T02:39:12Z
sepsis,general-pop,10.1001/jama.2010.1553,Iwashyna_2010,treated,0.167,NA,"Post-sepsis cognitive impairment in elderly Medicare beneficiaries at 1 year. Proxy for treated persistent impairment.",subagent-proposal,2026-05-26T00:00:00Z
sepsis,general-pop,10.1111/j.1532-5415.2012.03989.x,Iwashyna_2012,treated,0.748,NA,"Severe disability (ADL/IADL limitations) in sepsis survivors at 1 year. Upper bound for treated persistent impairment.",subagent-proposal,2026-05-26T00:00:00Z
sepsis,general-pop,10.1136/bmjopen-2013-004208,DalagerPedersen_2014,treated,0.027,NA,"Young healthy workforce (Danish military) 2.7% disability pension after sepsis. Lower bound for treated in analog-selectee population.",subagent-proposal,2026-05-26T00:00:00Z
choking-obstructed-airway,civilian-fbao-allcomers,10.1016/j.resuscitation.2024.110198,norii-mochi-2024,combined,0.505,196,"All-comers ED FBAO cohort n=407; 48.2% 1-month survival; 23.8% favorable neurologic outcome (CPC 1-2); unfavorable among survivors = 99/196 = 50.5%; elderly Japanese cohort median age 82; 1-month outcome used as proxy for >=3-month persistence because neurologic recovery after hypoxic injury plateaus by 30 days",subagent-proposal,2026-05-26T00:00:00Z
choking-obstructed-airway,civilian-inhospital-fbao,10.1016/j.resuscitation.2023.109806,norii-inhospital-2023,treated,0.387,207,"In-hospital food FBAO n=300; 31% died; 26.7% residual disability; among 207 survivors 80 had residual disability = 38.7%; immediate suction/back blows/abdominal thrusts available; closest proxy for analog mission with trained CMO present; outcome at discharge used as proxy for persistent impairment",subagent-proposal,2026-05-26T00:00:00Z
smoke-inhalation,civilian-fire-survivors,10.1136/thx.46.12.914,fogarty-kings-cross-1991,treated,0.79,14,"Small airways obstruction (elevated RV and reduced V25) present in 11/14 survivors at 6 months. 10/14 had concomitant skin burns. Treated in hospital with supplemental O2 and supportive care.",subagent-proposal,2026-05-26T00:00:00Z
smoke-inhalation,civilian-fire-survivors,10.1136/thx.46.12.914,fogarty-kings-cross-2yr,treated,1.00,7,"Of 7 patients reassessed at 2 years, all retained small airways obstruction. Subset of the 6-month cohort above. 10/14 original group had burns.",subagent-proposal,2026-05-26T00:00:00Z
smoke-inhalation,civilian-burn-survivors,PMID:8836661,bourbeau-1996,treated,0.17,23,"23 of 45 survivors assessed at ~45 months. Only 4/23 reported increased dyspnoea; spirometry and bronchial responsiveness were within normal limits for all. Combined smoke inhalation + body surface burns.",subagent-proposal,2026-05-26T00:00:00Z
smoke-inhalation,civilian-burn-survivors,10.1093/jbcr/irab123,wier-2021,treated,0.21,33,"Retrospective case-control of burn-unit patients. INHI group (n=33) had 21% outpatient pulmonary sequelae (ineffective airway clearance, infections, SOB) vs 4% in non-ventilated controls. Combined burn+smoke.",subagent-proposal,2026-05-26T00:00:00Z
smoke-inhalation,proxy-CO-poisoning-cohorts,PMID:16891556,co-poisoning-proxy-untreated,untreated,0.33,N/A,"Proxy for untreated smoke-inhalation CNS impairment. CO and HCN are key smoke components. Without supplemental O2 or hyperbaric therapy, 15-50% of survivors develop persistent/delayed neuropsychiatric sequelae (memory, cognition, parkinsonism). Midpoint 33% used. No direct untreated smoke-inhalation cohorts exist because treatment is standard of care.",subagent-proposal,2026-05-26T00:00:00Z
smoke-inhalation,fire-toxicology-review,https://www.fireengineering.com/firefighting/toxicology-of-smoke-inhalation/,fire-engineering-severe,both,0.40,N/A,"Severe smoke-inhalation poisoning: 40% long-term neurological impairment including cognitive dysfunction, short-term memory deficits, and sensory-motor problems. Applies to severe exposures regardless of treatment access. Professional/trade source; used as bounding estimate.",subagent-proposal,2026-05-26T00:00:00Z
sudden-cardiac-arrest,civilian,https://mycares.net/sitepages/uploads/2023/2013-2022%20Non-Traumatic%20National%20Survival%20Report.pdf,cares-2022-national,treated,0.195,13794,"National unselected EMS-treated OHCA cohort (N=147405). Survival to discharge 9.4%; CPC 1-2 7.5%. Impairment fraction = (13794-11110)/13794 = 0.195. Outcome measured at hospital discharge (~days to weeks).",subagent-proposal,2026-05-26T00:00:00Z
sudden-cardiac-arrest,civilian,10.1016/j.resuscitation.2025.110566,okeefe-witnessed-ohca-2025,treated,0.157,29805,"Witnessed OHCA cohort (N=194807) from CARES 2013-2023. Survival to discharge 15.3%; favorable neurologic survival 12.9%. Impairment fraction among survivors = 0.157. Discharge outcome.",subagent-proposal,2026-05-26T00:00:00Z
sudden-cardiac-arrest,civilian,10.1016/j.resuscitation.2022.09.016,ahn-bystander-cpr-2022,treated,0.130,21707,"CARES 2013-2020 cohort (N=420671). Subgroup WITH bystander CPR (n~165702). Survival to discharge 13.1%; favorable neurologic survival 11.4%. Impairment fraction among survivors = 0.130. Discharge outcome.",subagent-proposal,2026-05-26T00:00:00Z
sudden-cardiac-arrest,civilian,10.1016/j.hlc.2025.07.004,andrea-pcr-cat-2025,treated,0.072,152,"Contemporary European ICU cohort (N=288 admitted to ICCU). Back-calculated: 93% of discharged patients had favorable neurologic outcome at 6 months (CPC 1-2). Survival to discharge ~52.8%. Impairment fraction among survivors = 0.072. Meets >=3-month persistence criterion.",subagent-proposal,2026-05-26T00:00:00Z
sudden-cardiac-arrest,civilian,10.1111/j.1399-6576.2009.02021.x,nielsen-hypothermia-registry-2009,treated,0.070,493,"Hypothermia Registry (N=986 TH-treated OHCA). ~50% survived; >90% good neurologic function at 6-12 months (CPC 1-2). Conservative impairment fraction estimated as 0.07. Selected ICU cohort with full post-arrest care (TTM, angiography, PCI). Meets >=3-month criterion.",subagent-proposal,2026-05-26T00:00:00Z
sudden-cardiac-arrest,civilian,10.1186/s13613-022-01048-y,annals-icu-longterm-2022,treated,0.033,174,"Prospective ICU cohort (N=415 admitted). 2-year mortality 58.1%; 96.7% of survivors had good neurologic outcome at 2 years (CPC 1-2). Impairment fraction = 0.033. Long-term follow-up meets >=3-month criterion.",subagent-proposal,2026-05-26T00:00:00Z
sudden-cardiac-arrest,civilian,10.1016/j.resuscitation.2022.09.016,ahn-no-bystander-cpr-2022,untreated,0.233,18613,"Same CARES cohort as above. Subgroup WITHOUT bystander CPR (n~254969) — best available proxy for untreated remote analog-mission scenario. Survival to discharge 7.3%; favorable neurologic survival 5.6%. Impairment fraction among survivors = 0.233. Patients still received EMS/ALS; true untreated OHCA is almost universally fatal.",subagent-proposal,2026-05-26T00:00:00Z
stroke-cerebrovascular-accident,civilian,https://sitsinternational.org/wp-content/uploads/2022/05/SITS-Report-2021-FINAL.pdf,sits-ivt-registry-2021,treated,0.49,N/A,"SITS International 2021 IVT registry 2014-2021. mRS 0-1=42.4%; mRS 0-2=56.7%; death=16.3%. Among survivors mRS>=2=(14.3%+27.0%)/83.7%=49.3%. Ischemic stroke only; large multinational cohort.",subagent-proposal,2026-05-26T00:00:00Z
stroke-cerebrovascular-accident,civilian,10.5853/jos.2024.01389,mt-ivt-cohort-2024,treated,0.46,560,"Mixed MT+IVT vs IVT cohort n=640. mRS 0-1=47%; mRS 0-2=62%; mortality=13%. mRS>=2 among survivors=(96+161)/560=45.9%. Confirms registry estimate. Ischemic stroke only.",subagent-proposal,2026-05-26T00:00:00Z
stroke-cerebrovascular-accident,civilian,10.3389/fneur.2019.00254,frontiers-evt-lvo-2019,treated,0.64,144,"EVT-treated LVO cohort n=181 (median NIHSS 17-18). mRS 0-2=44.8%; mortality=20.4%. mRS>=2 among survivors=92/144=63.9%. Severe stroke treated proxy. Ischemic stroke only.",subagent-proposal,2026-05-26T00:00:00Z
stroke-cerebrovascular-accident,civilian,10.1056/NEJM199512143332401,ninds-placebo-1995,untreated,0.67,130,"NINDS rt-PA Part 2 placebo arm n=165. mRS 0-1=26% (43/165); mortality=21% (~35/165). mRS>=2 among survivors=87/130=66.9%. Best available untreated all-comer ischemic stroke proxy.",subagent-proposal,2026-05-26T00:00:00Z
stroke-cerebrovascular-accident,civilian,10.1161/STROKEAHA.110.593897,khatri-mild-untreated-2011,untreated,0.27,131,"Mild ischemic stroke (NIHSS<=5) without thrombolysis n=136. mRS 2-6=29% (40/136); deaths=3.7% (5/136). mRS>=2 among survivors=35/131=26.7%. Lower bound for untreated mild stroke; not generalizable to all stroke.",subagent-proposal,2026-05-26T00:00:00Z
stroke-cerebrovascular-accident,civilian,10.9778/cmajo.20150088,oxvasc-preivt-2016,untreated,0.61,N/A,"Oxford Vascular Study calibration targets (pre-IVT era; population-based). At 3 months: independence mRS 0-2=30.3%; disability mRS 3-5=47.5%; death=22.2%. mRS>=3 among survivors=47.5/77.8=61%. Note: mRS 2 counted as independence; true mRS>=2 is higher. Includes ischemic and hemorrhagic stroke.",subagent-proposal,2026-05-26T00:00:00Z
burns-secondary-to-fire,civilian,mason-rtw-sr-2012,10.1097/BCR.0b013e3182374452,treated,0.28,N/A,"Systematic review of 26 studies; ~28% of previously-employed burn survivors never return to any form of employment. Proxy for persistent functional impairment in modern treated cohorts.",subagent-proposal,2026-05-26T00:00:00Z
burns-secondary-to-fire,civilian,stanton-disability-survey-2025,10.1093/jbcr/iraf045,treated,0.33,N/A,"Survey-based analysis of treated burn survivors; one-third self-identified as disabled due to burn injuries at long-term follow-up.",subagent-proposal,2026-05-26T00:00:00Z
burns-secondary-to-fire,civilian,kelter-bms-chronic-2020,10.1016/j.burns.2019.10.017,treated,0.25,N/A,"Burn Model System database; >25% report persistent physical symptoms (paresthesia, joint pain, temperature intolerance, balance trouble, memory difficulty) at 6-12-24 months post-injury.",subagent-proposal,2026-05-26T00:00:00Z
burns-secondary-to-fire,civilian-developing,ghana-kath-2013,PMC3636668,treated,0.429,70,"Developing-world teaching-hospital cohort (Ghana); 42.9% had scar contractures, 35.7% disfigurements, 7.1% permanent disabilities (amputations). Higher than modern Western benchmarks.",subagent-proposal,2026-05-26T00:00:00Z
burns-secondary-to-fire,civilian-lmic-suboptimal,hendriks-contracture-lmic-2022,10.1016/j.burns.2021.04.024,treated,0.36,36,"Low-income country prospective cohort; 36% developed contracture limiting joint function at 12 months. Patients had delayed/suboptimal access to excision and grafting — closest available proxy for untreated persistent impairment.",subagent-proposal,2026-05-26T00:00:00Z
burns-secondary-to-fire,civilian-untreated-surgical-mission,mcmahon-untreated-india-2019,10.1097/SAP.0000000000001678,untreated,0.82,28,"No formal primary burn care; >80% had significant BSHS deficits (skin sensitivity, body image) at mean 4.7 years post-injury. SELECTION BIAS: cohort drawn from surgical-mission patients presenting for reconstruction; overestimates impairment among all untreated survivors. Only modern cohort explicitly without formal burn care.",subagent-proposal,2026-05-26T00:00:00Z
cardiogenic-shock-secondary-to-myocardial-infarction,civilian,10.1016/j.jacc.2023.06.026,jacc-ontario-2023,treated,0.420,6828,"Population-based retrospective cohort Canada 2009-2019. 42.0% of 6828 survivors to discharge required increased support in care from preadmission baseline (home care admission LTCH placement or increased caregiver hours). 47.5% readmitted within 1 year. Best single estimate for any persistent functional impairment.",subagent-proposal,2026-05-26T00:00:00Z
cardiogenic-shock-secondary-to-myocardial-infarction,civilian,10.1016/j.jacc.2025.03.511,utsw-cognitive-2025,treated,0.530,141,"Prospective single-center cohort. 53% of CS survivors with no baseline cognitive impairment had persistent cognitive impairment at 3-month follow-up (bMoCA). Cognitive domain only.",subagent-proposal,2026-05-26T00:00:00Z
cardiogenic-shock-secondary-to-myocardial-infarction,civilian,10.1093/ehjacc/zuaa022,danish-nationwide-2021,treated,0.210,2865,"Nationwide Danish cohort 2005-2017. Among 2865 hospital survivors 21% (95% CI 19-22%) were hospitalized for heart failure within 1 year. 5-year HF hospitalization 40%.",subagent-proposal,2026-05-26T00:00:00Z
cardiogenic-shock-secondary-to-myocardial-infarction,civilian,10.1016/j.jacc.2005.01.061,shock-trial-functional-2005,treated,0.130,140,"SHOCK trial RCT. 87% of one-year survivors were NYHA I-II therefore 13% NYHA III-IV. n=302 randomized approximately 140 one-year survivors combined ERV and IMS arms. ERV was the only independent predictor of better functional outcome.",subagent-proposal,2026-05-26T00:00:00Z
cardiogenic-shock-secondary-to-myocardial-infarction,civilian,10.1002/clc.20488,drakos-athens-2009,untreated,0.516,37,"Single-center retrospective n=81. All patients had IABP 49% thrombolytics NO primary PCI. 37 in-hospital survivors (45.7%). Heart failure developed in 51.6% of discharged patients over mean 85-month follow-up. Best available proxy for limited/no reperfusion era.",subagent-proposal,2026-05-26T00:00:00Z
cardiogenic-shock-secondary-to-myocardial-infarction,civilian,10.1056/NEJM199908263410901,shock-trial-ims-1999,untreated,0.340,N/A,"SHOCK trial IMS arm n=150. IABP plus thrombolysis NO early revascularization. 34% of 2-week post-discharge survivors worsened or died between 2 weeks and 1 year vs 15% in ERV arm. 6-month mortality 63.1%. Only 44% remained stable functional trajectory vs 71% with ERV. Trajectory signal not a clean impairment fraction.",subagent-proposal,2026-05-26T00:00:00Z
cardiogenic-shock-secondary-to-myocardial-infarction,historical,N/A,historical-pre-reperfusion-inferred,untreated,0.700,N/A,"Pre-reperfusion era pre-1980s before thrombolytics IABP or PCI. In-hospital mortality 80-90% leaving only 10-20% survivors. No long-term functional cohorts exist. Inferred from natural history of large transmural infarct without reperfusion plus worse outcomes in IMS arm vs ERV and Drakos limited-intervention cohort. Estimated 60-80% of rare survivors develop severe chronic HF cognitive impairment or end-organ damage. FLAGGED as inferred due to absence of direct evidence.",subagent-proposal,2026-05-26T00:00:00Z
