condition_id,mission_type,study_doi,study_slug,person_days,events,notes,extracted_by,extracted_at_utc
lumbar-spine-fracture,analog,NASA/HSRB-2021,sibonga_2022,2053897,17,NASA LSAH spine (thoracic+lumbar) fx. Non-LD <90 days. 17 spine fx in 5626 py. Baseline astronaut spine fx rate. Includes thoracic.,subagent-proposal,2026-05-25T00:00:00Z
lumbar-spine-fracture,analog,NASA/HSRB-2021,sibonga_2022,611794,6,NASA LSAH spine (thoracic+lumbar) fx. No-spaceflight period. 6 spine fx in 1675 py. Includes thoracic.,subagent-proposal,2026-05-25T00:00:00Z
lumbar-spine-fracture,general-pop,10.1016/S8756-3282(01)00614-6,van_staa_2001,36525000,EST:20,Back-calculated from UK 10-year vertebral fracture probability for men age 50 (0.2% over 10 y ~ 0.02%/yr = 20 per 100000 py). Clinical vertebral fx in men 45-55 are rare and heavily under-diagnosed. Astronaut healthy-worker effect means true analog risk likely lower. TierC fallback.,subagent-proposal,2026-05-25T00:00:00Z
lower-extremity-le-stress-fracture,military-occupational,10.1055/s-0032-1311583,knapik_2012,33302150,9182,US Army Basic Combat Training male recruits 1997-2007. 19.3 cases per 1000 recruits in 10 weeks. 475745 men. High-loading analog relevant to planetary EVA surface operations. Selection bias: recruits are young and screened for health; still higher rates than expected in analog astronauts.,subagent-proposal,2026-05-25T00:00:00Z
lower-extremity-le-stress-fracture,military-occupational,10.1055/s-0032-1311583,knapik_2012,7553420,8622,US Army Basic Combat Training female recruits 1997-2007. 79.9 cases per 1000 recruits in 10 weeks. 107906 women. Applicable as high-loading analog. Selection bias as above. Gender disparity notable.,subagent-proposal,2026-05-25T00:00:00Z
lower-extremity-le-stress-fracture,military-occupational,10.1249/01.mss.0000225890.36099.6d,shaffer_2006,69216,66,Female Marine Corps recruits 1999. 66 confirmed LE stress fractures in 824 women over 12-week basic training. 1.0 per 1000 training-day exposures. Smaller cohort but prospective design with training-day exposure denominator. High-loading analog.,subagent-proposal,2026-05-25T00:00:00Z
lower-extremity-le-stress-fracture,military-occupational,10.1359/jbmr.080102,lappe_2008,207200,285,Female Navy recruits. RCT of calcium/vitamin D vs placebo. Per-protocol: 285 stress fractures in 3700 women over 8 weeks (6.8% supplemented vs 8.6% placebo). ITT incidence 5.9%. High-loading analog with nutritional intervention context.,subagent-proposal,2026-05-25T00:00:00Z
lower-extremity-le-stress-fracture,military-occupational,10.7205/MILMED-D-15-00571,waterman_2016,2038414219,31758,All US active-duty service members 2009-2012. 31758 LE stress fractures in 5.58M person-years (5.69 per 1000 py). Includes recruits and qualified personnel. Junior enlisted at highest risk (18.54 per 1000 py Army/Marines). Most applicable as sustained occupational loading analog.,subagent-proposal,2026-05-25T00:00:00Z
abdominal-injury,analog,NASA/TM-2013-217407,lewandowski_2013,9654,0,No traumatic abdominal injuries observed in 26.43 person-years of US spaceflight (STS+ISS). 6 minor trunk injuries used as proxy impact rate for IMM biomechanical model. Model estimates mean 2.6e-4 per person-year. Highly selected astronaut population; microgravity reduces fall risk but increases equipment-impact risk. TierA-NASA direct observation.,subagent-proposal,2026-05-25T00:00:00Z
abdominal-injury,general-pop,PMC13053684,norway_2024,EST:17751150000,7086,Norway National Trauma Registry 2015-2023 (9 years). 7086 abdominal injuries in ~5.4M population. Age-sex-adjusted incidence 14.9 per 100000 person-years; solid organ 7.2; hollow viscus 1.2. Includes blunt and penetrating trauma. General population proxy; astronauts are younger and healthier so true rate likely lower.,subagent-proposal,2026-05-25T00:00:00Z
acute-compartment-syndrome,general-pop,10.3390/jcm13061678,mdpi_2024,EST:242681320140,13305,Germany 2015-2022. 13305 traumatic compartment syndrome cases in 83.05M population over 8 years. Rate 2 per 100000 person-years. National inpatient data (oste synthesis procedures). No spaceflight or analog ACS data found; general trauma population proxy. TierB-lit.,subagent-proposal,2026-05-25T00:00:00Z
abdominal-wall-hernia,general-pop,10.1097/js9.0000000000000217,gbd_2019,36525000,EST:163,GBD 2019 age-standardized incidence 162.96 per 100000 for inguinal/femoral/abdominal hernia combined. Back-calculated from published rate over 100000 person-years. No spaceflight analog data found. General population proxy; astronauts are younger and selected for health so true rate likely substantially lower.,subagent-proposal,2026-05-25T00:00:00Z
altitude-sickness,general-pop,10.1056/NEJMoa062770,Muhm_2007,418,37,Aviation hypobaric chamber 502 subjects 20h exposure; LLSQ-defined AMS,subagent-proposal,2026-05-25T00:00:00Z
altitude-sickness,analog,10.4137/CCRPM.S6882,Anderson_2011,EST:1722,128,Antarctic South Pole 2835m rapid ascent 246 subjects 1st week at altitude 52pct AMS incidence,subagent-proposal,2026-05-25T00:00:00Z
altitude-sickness,analog,10.2147/IJGM.S114188,Crucian_2016,7513,0,46 long-duration ISS missions 20.57 flight-years zero AMS events,subagent-proposal,2026-05-25T00:00:00Z
anaphylaxis,general-pop,10.1016/s0091-6749(99)70392-1,Yocum_1999,EST:182500000,154,Olmsted County MN 1983-1987 ~100k population 5-year cohort,subagent-proposal,2026-05-25T00:00:00Z
anaphylaxis,general-pop,10.1016/j.jaci.2008.09.043,Decker_2008,EST:255500000,EST:349,Rochester MN population-based cohort incidence 49.8 per 100k person-years,subagent-proposal,2026-05-25T00:00:00Z
acute-radiation-syndrome,analog,10.2147/IJGM.S114188,Crucian_2016,7513,0,46 long-duration ISS missions 20.57 flight-years zero ARS events,subagent-proposal,2026-05-25T00:00:00Z
choking-obstructed-airway,analog,nasa-safe-passage-2001,nasa_2001,EST:1095000,0,Zero choking events across all NASA/Russian/ISS medical logs (~3000 person-years of spaceflight). Extreme rarity in screened healthy crews eating pre-packaged food. Tier-C proxy.,subagent-proposal,2026-05-25T00:00:00Z
choking-obstructed-airway,general-pop,10.1016/j.resuscitation.2024.110171,wolthers_2024,EST:14857000000,EST:318,Population-based FBAO-related OHCA in Denmark 2016-2022 (0.78 per 100k person-years). Back-calculated from rate. Only OHCA cases; true choking incidence including nonfatal is higher. General-pop proxy for rarity.,subagent-proposal,2026-05-25T00:00:00Z
choking-obstructed-airway,general-pop,17169872,soroudi_2007,EST:1525000000,513,Prehospital FBAO in San Diego County adults over 17 months. County pop ~2.95M. EMS-attended cases only; mild choking resolved without EMS not captured. 3.3% mortality. General-pop proxy.,subagent-proposal,2026-05-25T00:00:00Z
choking-obstructed-airway,general-pop,7062544,mittleman_1982,EST:8030000000,141,Fatal food asphyxiation in Dade County FL over 20 years. Incidence 0.66 per 100k. Fatalities only; institutionalized patients overrepresented. Tier-C proxy.,subagent-proposal,2026-05-25T00:00:00Z
choking-obstructed-airway,general-pop,NBK553186,statpearls_2024,EST:96400000000,EST:613,US adult fatal choking rates: 0.1/100k (18-64y) and 0.7/100k (>65y). Back-calculated weighted average for adult population. Fatalities only. Tier-C general-pop proxy.,subagent-proposal,2026-05-25T00:00:00Z
neurogenic-shock,analog,nasa-safe-passage-2001,nasa_2001,EST:1095000,0,No spinal cord injuries in human spaceflight history; therefore zero neurogenic shock. Extreme rarity in analog environment. Tier-C proxy only.,subagent-proposal,2026-05-25T00:00:00Z
neurogenic-shock,general-pop,10.1001/jama.2015.6250,jain_2015,EST:121545000000,EST:2952,Back-calculated from US SCI incidence 54/million/year (1993-2012) and NS proportion ~16% among all SCI (Guly 2008 cervical 19.3% thoracic/lumbar 7%). Only occurs after SCI; healthy crew incidence is orders of magnitude lower. Tier-C proxy.,subagent-proposal,2026-05-25T00:00:00Z
neurogenic-shock,general-pop,17688997,guly_2008,EST:142000000000,EST:65,TARN trauma registry England & Wales 1989-2003. 490 isolated SCI. NS incidence back-calculated from cervical 19.3% and thoracic/lumbar 7% with estimated 50/50 split. TARN partial coverage; catchment estimated at ~50% of population. Tier-C trauma-registry proxy.,subagent-proposal,2026-05-25T00:00:00Z
acute-pancreatitis,general-pop,10.1053/j.gastro.2021.09.043,Iannuzzi_2021,EST:36500000,34,Meta-analysis acute pancreatitis incidence North America 33.74 per 100000 person-years. General-population proxy; no analog data found.,subagent-proposal,2026-05-25T00:00:00Z
acute-prostatitis,general-pop,10.1016/j.ijantimicag.2007.08.028,Krieger_2008,EST:365000,5,All-types prostatitis incidence 4.9 per 1000 person-years from US claims data. Broader than acute prostatitis alone.,subagent-proposal,2026-05-25T00:00:00Z
acute-prostatitis,general-pop,10.1046/j.1439-0272.2003.00584.x,EuUrol_2002,EST:365000,3,Acute prostatitis and NOS incidence 3.2-3.6 per 1000 person-years. European population. Closer phenotype match than all-types rate.,subagent-proposal,2026-05-25T00:00:00Z
acute-arthritis,general-pop,PMC11510638,MDPI_2024,EST:36500000,4,Septic arthritis incidence in adults ~4 per 100000 person-years. Used as closest proxy for acute arthritis; no direct acute arthritis incidence found.,subagent-proposal,2026-05-25T00:00:00Z
