condition_id,mission_type,study_doi,study_slug,person_days,events,notes,extracted_by,extracted_at_utc
hip-sprain-strain,general-pop,10.1177/2325967118789079,kerbel_2018,EST:3739163,EST:992,NCAA athletes 25 sports 2009-2014; 53.06/100k AE overall hip injury rate; strain subset 50% estimated; sports cohort proxy; general-pop proxy; selection-bias ~0.5x expected vs analog cohort,subagent-proposal,2026-05-25T23:06:24Z
hip-sprain-strain,general-pop,10.1136/bjsports-2017-097599,werner_2018,EST:1208000,EST:1812,UEFA professional football 47 clubs 15 seasons; 1.0/1000h hip+groin time-loss; all soft-tissue strains/sprains; sports cohort proxy; general-pop proxy; selection-bias ~0.5x expected vs analog cohort,subagent-proposal,2026-05-25T23:06:24Z
hip-sprain-strain,general-pop,10.1136/bjsports-2024-109089,quintana-cepedal_2026,EST:6294254,EST:5914,BJSM meta-analysis 71 studies 9.4M h exposure 5914 injuries; 0.71/1000h HGI incidence; 85% football; adductor-related 0.41/1000h; sports cohort proxy; general-pop proxy; selection-bias ~0.5x expected vs analog cohort,subagent-proposal,2026-05-25T23:06:24Z
hip-sprain-strain,general-pop,10.1093/jhps/hnaf010,holler_2025,5940740,2768,PAC-12 Division I 5 years 16276 person-years 15609 athletes 2768 hip/groin injuries; direct person-year denominator; sports cohort proxy; general-pop proxy; selection-bias ~0.5x expected vs analog cohort,subagent-proposal,2026-05-25T23:06:24Z
wrist-sprain-strain,general-pop,10.1016/j.ajem.2021.08.059,gordon_2021,1149750000000,EST:641263,NEISS 2009-2018 US ED data; wrist injuries 182/100k/yr; 12.3% strains/sprains; wrist sprain rate EST 20.4/100k/yr; ER-presenting only underestimates true community burden; general-pop proxy; selection-bias ~0.5x expected vs analog cohort,subagent-proposal,2026-05-25T23:14:12Z
wrist-sprain-strain,general-pop,10.1302/2046-3758.1111.BJR-2022-0119,ponkilainen_2022,EST:3650000000,EST:15767,Meta-analysis 206 studies; ankle sprains pooled 429.4/100k/yr (reference ceiling); wrist sprain context bounding; general-pop proxy; selection-bias ~0.5x expected vs analog cohort,subagent-proposal,2026-05-25T23:14:12Z
wrist-sprain-strain,general-pop,10.1093/ije/23.1.198,larsen_1993,36500000,EST:82,Danish population-based ED study 1yr; overall wrist trauma 69/10000/yr; non-fracture soft-tissue EST 42/10000/yr; sprain fraction EST 20% = 8.4/10000/yr = 84/100k/yr; catchment pop ~100000; general-pop proxy; selection-bias ~0.5x expected vs analog cohort,subagent-proposal,2026-05-25T23:14:12Z
wrist-sprain-strain,general-pop,10.1136/bjgp.2024.0113,krastman_2024,365000000,EST:100,Dutch GP primary-care cohort 200000 patients 5yr; wrist ligament injury 0.1/1000 person-years (95% CI 0.04-0.12); primary care only floor estimate; general-pop proxy; selection-bias ~0.5x expected vs analog cohort,subagent-proposal,2026-05-25T23:14:12Z
wrist-sprain-strain,general-pop,PMID:34509744,sandler_2021,6424000,90,US Military Academy cadets 2005-2008; 90 ICD-coded wrist sprains in 4400-person cohort over 4yr; rate 511/100k/yr reflects high-activity physically-selected population; retained as upper-bound reference; general-pop proxy; selection-bias ~0.5x expected vs analog cohort,subagent-proposal,2026-05-25T23:14:12Z
wrist-sprain-strain,general-pop,10.1007/s00068-021-01655-3,vanleerdam_2021,EST:6205000000,EST:4199,Dutch Injury Surveillance System 2016; 160250 hand+wrist ED visits; incidence 11/1000 males 8/1000 females; wrist sprain EST 13% of wrist visits; general-pop proxy; selection-bias ~0.5x expected vs analog cohort,subagent-proposal,2026-05-25T23:14:12Z
